device_id,day_start,sleep_value,minutes_in_bed,minutes_asleep
1503960366,04-12-16 0:00,1,346,327
1503960366,4/13/2016 12:00:00 AM,2,407,384
1503960366,4/15/2016 12:00:00 AM,1,442,412
1503960366,4/16/2016 12:00:00 AM,2,367,340
1503960366,4/17/2016 12:00:00 AM,1,712,700
1503960366,4/19/2016 12:00:00 AM,1,320,304
1503960366,4/20/2016 12:00:00 AM,1,377,360
1503960366,4/21/2016 12:00:00 AM,1,364,325
1503960366,4/23/2016 12:00:00 AM,1,384,361
1503960366,4/24/2016 12:00:00 AM,1,449,430
1503960366,4/25/2016 12:00:00 AM,1,323,277
1503960366,4/26/2016 12:00:00 AM,1,274,245
1503960366,4/28/2016 12:00:00 AM,1,393,366
1503960366,4/29/2016 12:00:00 AM,1,354,341
1503960366,4/30/2016 12:00:00 AM,1,425,404
1503960366,05-01-16 0:00,1,396,369
1503960366,05-02-16 0:00,1,309,277
1503960366,05-03-16 0:00,1,296,273
1503960366,05-05-16 0:00,1,264,247
1503960366,05-06-16 0:00,1,367,334
1503960366,05-07-16 0:00,1,349,331
1503960366,05-08-16 0:00,1,611,594
1503960366,05-09-16 0:00,1,342,338
1503960366,05-10-16 0:00,1,403,383
1503960366,05-11-16 0:00,1,306,285
1644430081,4/29/2016 12:00:00 AM,1,127,119
1644430081,4/30/2016 12:00:00 AM,1,142,124
1644430081,05-02-16 0:00,1,961,796
1644430081,05-08-16 0:00,1,154,137
1844505072,4/15/2016 12:00:00 AM,1,961,644
1844505072,4/30/2016 12:00:00 AM,1,961,722
1844505072,05-01-16 0:00,1,961,590
1927972279,04-12-16 0:00,3,775,750
1927972279,4/13/2016 12:00:00 AM,1,422,398
1927972279,4/15/2016 12:00:00 AM,2,499,475
1927972279,4/26/2016 12:00:00 AM,1,315,296
1927972279,4/28/2016 12:00:00 AM,1,178,166
2026352035,04-12-16 0:00,1,546,503
2026352035,4/13/2016 12:00:00 AM,1,565,531
2026352035,4/14/2016 12:00:00 AM,1,568,545
2026352035,4/15/2016 12:00:00 AM,1,573,523
2026352035,4/16/2016 12:00:00 AM,1,567,524
2026352035,4/17/2016 12:00:00 AM,1,498,437
2026352035,4/19/2016 12:00:00 AM,1,540,498
2026352035,4/20/2016 12:00:00 AM,1,510,461
2026352035,4/21/2016 12:00:00 AM,1,514,477
2026352035,4/22/2016 12:00:00 AM,1,545,520
2026352035,4/23/2016 12:00:00 AM,1,554,522
2026352035,4/24/2016 12:00:00 AM,1,591,555
2026352035,4/25/2016 12:00:00 AM,1,531,506
2026352035,4/27/2016 12:00:00 AM,1,545,508
2026352035,4/28/2016 12:00:00 AM,1,545,513
2026352035,4/29/2016 12:00:00 AM,1,510,490
2026352035,4/30/2016 12:00:00 AM,1,607,573
2026352035,05-01-16 0:00,1,546,527
2026352035,05-02-16 0:00,1,543,511
2026352035,05-04-16 0:00,1,560,538
2026352035,05-05-16 0:00,1,485,468
2026352035,05-06-16 0:00,1,548,524
2026352035,05-07-16 0:00,1,521,511
2026352035,05-08-16 0:00,1,568,541
2026352035,05-09-16 0:00,1,556,531
2026352035,05-10-16 0:00,1,380,357
2026352035,05-11-16 0:00,1,553,523
2026352035,05-12-16 0:00,1,485,456
2320127002,4/23/2016 12:00:00 AM,1,69,61
2347167796,4/13/2016 12:00:00 AM,1,531,467
2347167796,4/14/2016 12:00:00 AM,1,489,445
2347167796,4/15/2016 12:00:00 AM,1,504,452
2347167796,4/17/2016 12:00:00 AM,1,602,556
2347167796,4/18/2016 12:00:00 AM,1,557,500
2347167796,4/19/2016 12:00:00 AM,1,514,465
2347167796,4/21/2016 12:00:00 AM,1,484,460
2347167796,4/22/2016 12:00:00 AM,1,461,405
2347167796,4/23/2016 12:00:00 AM,1,386,374
2347167796,4/24/2016 12:00:00 AM,1,459,442
2347167796,4/25/2016 12:00:00 AM,1,471,433
